dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,themes
Food web trophic control modulates tropical Atlantic reef ecosystems response to marine heat wave intensity and duration,Journal of Animal Ecology,2025-08-01,94,8,1492-1506,10.1111/1365-2656.14107,ar,Article,7,2-s2.0-85194399483,38790092,1,"Marine heatwaves (MHWs) are episodes of anomalous warming in the ocean that can last from a few days to years. MHWs have different characteristics in terms of intensity, duration and frequency and generate thermal stress in marine ecosystems. In reef ecosystems, they are one of the main causes of the decreased presence and abundance of corals, invertebrates and fish. The deleterious capacity of thermal stress often depends on biotic factors, such as the trophic control of predators on prey. Despite the evidence of thermal stress and biotic factors affecting individual species, the combined effects of both stressors on entire reef ecosystems are much less studied. Here, using a food web modelling approach, we estimated the rate of change in species' biomass due to different MHW characteristics. Specifically, we modelled the mechanistic link between species' consumption rate and seawater temperature (thermal stressor), simulating species' biomass dynamics for different MHW characteristics under different trophic control assumptions (top-down, mixed trophic control and bottom-up). We find that total reef ecosystem biomass declined by 10% ± 5% under MHWs with severe intensity and a top-down control assumption. The bottom-up control assumption moderates the total ecosystem biomass reduction by 5% ± 5%. Irrespective of the MHW characteristics and the trophic control assumption, the most substantial biomass changes occur among top, mesopredators and corals (5% to 20% ± 10%). We show that reef ecosystems where predators exert top-down control on prey are prone to suffer species abundance declines under strong MHW events. We identify food web trophic control as a crucial driver that modulates the impacts of MHWs. Overall, our results provide a unified understanding of the interplay between abiotic stressors and biotic factors in reef ecosystems under extreme thermal events, offering insights into present baselines and future ecological states for reef ecosystems.","7,8,11"
Foraging ecology of swordfish in the California Current Large Marine Ecosystem during an ecosystem regime shift,ICES Journal of Marine Science,2025-08-01,82,8,,10.1093/icesjms/fsaf139,ar,Article,1,2-s2.0-105013303349,,1,"Marine heatwaves are periods of anomalously warm ocean temperatures that can substantially impact marine ecosystems. These events can lead to changes in trophic interactions, food webs, and ecosystem structure, even after they have subsided. In this study, we described changes in swordfish (Xiphias gladius) foraging ecology in the California Current Large Marine Ecosystem (CCLME) over a period of rapid oceanographic and ecosystem change. We used 17 years of data (2007–23) to examine how swordfish diet composition varied through time in the CCLME before, during, and after the severe marine heatwave of 2014–16. Stomachs were collected by fishery observers aboard commercial vessels using drift gillnet and deep-set buoy gear. Prey were identified to the lowest taxonomic level possible and diet composition was analysed using univariate and multivariate methods. Our results showed a shift in diets occurred from cephalopods to epipelagic teleosts in 2014–16. While jumbo squid (Dosidicus gigas) was the most important prey during the early years of the study, Pacific hake (Merluccius productus) and northern anchovy (Engraulis mordax) dominated the diets in more recent years. The diet shifted towards teleosts in 2014–16 coincided with warm sea surface temperature anomalies, stronger stratification and shallower isothermal layer depths, negative North Pacific Gyre Oscillation, and higher anchovy biomass in the study region. Overall, swordfish diets appeared to integrate prey availability, environmental forcing, and spatiotemporal patterns in the CCLME. Our results showed that swordfish are generalist and opportunistic predators that have many characteristics of useful ‘ecosystem sentinels’ such as conspicuousness, sensitivity to ecosystem processes, and timely response to ecosystem shifts. Our findings can inform ongoing ecosystem monitoring efforts in the CCLME, as well as the development of ecosystem models. We also provide a unique perspective on how marine heatwaves may impact trophic connections and marine ecosystems.","7,9,10"
Improved Pacific Decadal Oscillation Prediction by an Optimizing Model Combined Bidirectional Long Short-Term Memory and Multiple Modal Decomposition,Remote Sensing,2025-08-01,17,15,,10.3390/rs17152537,ar,Article,1,2-s2.0-105013098830,,1,"The Pacific Decadal Oscillation (PDO), as the dominant mode of decadal sea surface temperature variability in the North Pacific, exhibits both interannual and decadal fluctuations that significantly influence global climate. The complexity associated with PDO changes poses challenges for accurate predictions. This study develops a BiLSTM-WOA-MMD (BWM) model, which integrates a bidirectional long short-term memory network with a whale optimization algorithm (WOA) and multiple modal decomposition (MMD), to forecast PDO at both interannual and decadal time scales. The model successfully predicts monthly/annual average PDO index of up to 15 months/5 years in advance, achieving a correlation coefficient of 0.56/0.55. By utilizing the WOA to effectively optimize hyperparameters, the model enhances the PDO prediction skill compared to existing deep learning PDO prediction models, improving the correlation coefficient from 0.47 to 0.68 at a 6-month lead time. The combination of MMD and WOA further minimizes prediction errors and extends the forecasting effective time to 15 months by capturing essential modes. The BWM model can be employed for future PDO prediction and the predicted PDO will remain in its cool phase in the next year both using the PDO index from NECI and derived from near-time satellite data. This proposed model offers an effective way to advance the prediction skill of climate variability on multiple time scales by utilizing all kinds of data available including satellite data, and provides a large-scale background to monitor marine heatwaves.",12
Unveiling summer marine heatwave onset mechanisms in the South China sea using an explainable deep learning method,Climate Dynamics,2025-08-01,63,8,,10.1007/s00382-025-07817-2,ar,Article,1,2-s2.0-105012897231,,0,"Marine heatwaves (MHWs) are extreme ocean warming events that profoundly impact marine ecosystems, yet the relative contributions of atmospheric and oceanic drivers before MHW onset in the South China Sea (SCS) remain unclear. To address this, we divided the SCS into five subregions and applied long short-term memory (LSTM) models integrated with the expected gradients method to assess the changing contributions of six key drivers leading to MHW events. Our results show that mixed layer depth is the dominant contributor on the day before MHW onset, reflecting its key role in modulating the ocean’s thermal structure. In contrast, the influence of 10-meter wind fields shows greater spatiotemporal fluctuations compared to that of downward solar shortwave radiation and surface geostrophic currents. Clustering analysis identified five distinct contribution patterns, highlighting pronounced regional differences in MHW-driving mechanisms. The effective contribution windows of each factor are shaped by wind field characteristics, mixed layer dynamics, and local topography. In open-sea regions, zonal winds exert an earlier and more sustained influence, highlighting their role in facilitating horizontal heat transport. Conversely, their impact in nearshore areas is more delayed and short-lived, likely due to modulation by complex coastal topography that affects local circulation and vertical mixing. Meanwhile, shallower mixed layers in these coastal regions tend to exhibit more prolonged contributions, as they respond more rapidly to surface heat fluxes. Additionally, meridional wind plays a crucial role across all regions from 30 to 5 days before MHW onset, marking a key window for MHW prediction. This study demonstrates the effectiveness of interpretable deep learning in uncovering MHW onset mechanisms and provides a foundation for developing region-specific predictive models for the SCS.","4,12"
Novel contributions to marine heatwave ecology: Identifying and addressing knowledge gaps in ecological impacts,Journal of Animal Ecology,2025-08-01,94,8,1481-1491,10.1111/1365-2656.70084,ed,Editorial,0,2-s2.0-105012593016,40765116,1,"As the climate crisis unfolds, marine heatwaves (MHWs), defined as discrete periods of anomalously high seawater temperatures, are emerging as one of the most pervasive threats to marine biodiversity worldwide. From coastal shallow waters to the deep sea, increasingly frequent and intense MHWs are reshaping ocean life at all levels of ecological organisation, undermining ecosystem resilience and compromising the provision of essential ecosystem services to human societies. This growing environmental challenge has rendered a new scientific discipline—marine heatwave ecology—which aims to advance our understanding, forecasting capacity and mitigation of MHW impacts on ecological systems. These priorities are central to marine science and conservation. Yet, despite increasing scientific attention, many critical research questions remain unresolved. In this cross-journal Special Feature, published across the Journal of Animal Ecology, Journal of Ecology and Functional Ecology, we present a collection of 13 studies that address some of the most pressing knowledge gaps in MHW ecology. These studies were conducted across diverse ocean basins and encompass a wide range of marine taxa, such as corals, macroalgae, seagrasses, molluscs, fish and plankton, among others. They span multiple levels of ecological organisation, from individual organisms to entire ecosystems, and employ a variety of methodologies and approaches. Collectively, the contributions to this special feature demonstrate how MHWs erode ecosystem resilience, reveal previously hidden biological and ecological impacts and show that vulnerability not only depends on thermal tolerance but also on environmental context. The studies also explore how MHW effects cascade up and down across levels of ecological organisation and reinforce the importance of applying ecological frameworks to better categorise and understand MHW dynamics. Finally, we have identified remaining knowledge gaps to guide future research, essential to further develop the MHW ecology field and to inform more effective conservation and management strategies. This will be especially urgent in the context of a rapidly warming ocean, where strong and recurrent MHWs are becoming the new normal.","7,11,14"
On the interconnection of marine heatwaves and the extremely severe cyclonic storms Mocha and Biparjoy in the Northern Indian Ocean,Natural Hazards,2025-08-01,121,15,18205-18225,10.1007/s11069-025-07513-8,ar,Article,1,2-s2.0-105011068433,,0,"This study examines the two successive Marine Heatwave (MHW) events and their influence on the formation of two Extremely Severe Cyclonic Storms (ESCSs) in the Northern Indian Ocean (NIO). Strong MHWs were observed in the central and northern Bay of Bengal (BoB) before the genesis of the ESCS Mocha (09–15th May 2023). It was observed that the ESCS Mocha intensified rapidly upon encountering strong MHWs (mean intensity of ≈1.25 ∘C) along its trajectory. During the intensification phase of Mocha in the BoB, an anti-cyclonic circulation formed over the Arabian Sea (AS). This anti-cyclonic circulation strengthened in the presence of Mocha and persisted for some time even after Mocha made landfall, following which it gradually dissipated. Our study suggests that this anti-cyclonic circulation caused atmospheric subsidence, as evident from reduced cloud cover and high outgoing longwave radiation. Due to the reduced cloud cover, increased net shortwave radiation at the ocean surface was noted, which resulted in positive net heat flux, leading to the warming of the AS. This sustained warming was further reinforced by the presence of low-salinity plumes, which inhibited vertical mixing, as evident from shallower mixed layer depths. The combined effect of these processes led to the formation and gradual intensification of surface and subsurface MHWs, causing the Tropical Cyclone Heat Potential (TCHP) to increase over the same region. These strong MHWs and increased TCHP created a conducive environment for the cyclogenesis of the ESCS Biparjoy (06–19th June 2023) in the AS, which came shortly after Mocha. These findings underscore the need to assess the broader socio-economic and ecological impacts of interconnected natural hazards, especially in vulnerable coastal regions.","4,5,9,10"
More intense and prolonged bottom marine cold-spells than surface: evidence from the continental shelf of China,Environmental Research Letters,2025-08-01,20,8,,10.1088/1748-9326/ade81b,ar,Article,1,2-s2.0-105009847494,,1,"Marine cold-spells (MCSs), the cold ocean temperature extremes as the counterpart to marine heatwaves (MHWs), may have brutal impacts on marine ecosystems and fisheries. However, recent MCS-related researches mainly focused on the ocean surface, while the character of bottom MCSs (BMCSs) remains unclear. Here, we provide an analogous assessment of BMCSs and surface MCSs (SMCSs) over the continental shelf of China based on a 1/12° ocean reanalysis dataset during period of 1993-2023. We found that the duration and cumulative intensity of BMCSs can be longer and more intense than SMCSs, up to 20 d and ‒20 °C days, respectively. The mean and cumulative intensities of BMCSs and SMCSs increased in most regions, reaching 0.2 °C-0.4 °C/10a and 20 °C-40 °C days/10a, respectively. In contrast, there are no clear trends in the area-averaged time series of BMCS/SMCS metrics over the period 1993-2023. In terms of category and seasonal variations, BMCS generally has longer days than SMCS in the Moderate and Strong categories, persists longer than SMCS in summer and autumn (ranging from 2-6 d), and is more intense than SMCS in autumn and winter (ranging from 1 °C-2 °C). There are clear differences in category and seasonal changes between BMCS and SMCS. Furthermore, annual BMCS days are positively correlated with bottom depth, while mean intensity is negatively correlated. In addition, BMCS and SMCS often co-occur over shallow areas where the mixed layer depth can extend to the bottom.","3,7"
Drivers of kelp forest refugia during successive disturbance events,Journal of Ecology,2025-08-01,113,8,2013-2029,10.1111/1365-2745.70072,ar,Article,0,2-s2.0-105008199102,,1,"Increased ocean temperatures have led to large-scale declines in many ecologically important species, including kelp forests. Spatial heterogeneity across seascapes could protect kelp individuals and small populations from thermal stress and nutrient limitation. Habitat features within upwelling regions may facilitate the transport of deep, cold water into shallow systems, but little is known about the spatiotemporal occurrence or stability of these climate refugia. Kelp in climate refugia may, however, also experience other stressors, such as overgrazing by kelp herbivores, reducing their effectiveness. Here, we use high-resolution kelp canopy maps generated from CubeSat constellation data to characterize kelp persistence in northern California following a dramatic decline in kelp abundance due to increased temperature and nutrient limitation during a severe marine heatwave and continued intense grazing pressure by purple sea urchins. Kelp persistence was associated with local areas of relatively cool water temperature and seascape features such as shallow depths and low-complexity bathymetry, which may have provided refuge from overgrazing. However, a very small percentage of kelp forests in the region exhibited high persistence, with many forests present in only one or two of the 9 years studied. Most kelp patches were not spatially stable over time. Initially, kelp presence aligned with climate refugia, but as overgrazing emerged as the dominant driver of kelp distributions post-2019, kelp shifted to areas that offered protection from grazing pressure. Synthesis. Cooler areas with localized upwelling acted as climate refugia during the increased ocean temperatures from the 2014–2016 marine heatwave, supporting nutrient-rich environments and mitigating heat stress for kelp forests. However, these temperature refugia often did not spatially overlap with areas providing protection from grazing pressure, leaving kelp forests vulnerable to future warming even within temperature refugia if grazing pressure remains high.","3,7,11"
Recovery mode: Marine protected areas enhance climate resilience of invertebrate species to marine heatwaves,Functional Ecology,2025-08-01,39,8,1879-1893,10.1111/1365-2435.70060,ar,Article,2,2-s2.0-105006613104,,1,"Marine protected areas (MPAs) can promote population recovery from climate change impacts by reducing local stressors like fishing. However, with extreme climatic events such as marine heatwaves (MHWs) increasing in frequency and duration, it remains unclear whether MPAs enhance resistance to and recovery from these acute perturbations and how resilience varies across species and ecological traits (e.g. sedentary vs. mobile species). We used 15 years (2007–2021) of kelp forest monitoring data in Isla Natividad, Mexico, to assess the impact, resistance and recovery of the 2014–2016 MHWs on the fish and invertebrate communities inside and outside two fully protected marine reserves. The 2014–2016 MHWs, the most intense and persistent observed in Isla Natividad that coincided with the loss of giant kelp forest, impacted invertebrates but not fish biomass. Marine reserves conferred resistance to the MHWs for the invertebrate communities and wavy turban snails (Megastraea spp.) (J. H. McLean, 1970), as the impact was less severe than in the reference sites. In addition, reserves enhanced the recovery of some species after the MHWs. Inside marine reserves, abalone (Haliotis spp.) (Linnaeus, 1758) and wavy turban snail (benthic sedentary invertebrates) recovered to pre-heatwave biomass after 2 years, and spiny lobster (Panulirus interruptus) (Randall, 1840) (benthic mobile invertebrate) after 4 years. Outside the reserves, abalone recovered after 3 years, while the other two species never recovered. The warty sea cucumber (Apostichopus parvimensis) (H. L. Clark, 1913) population collapsed after the MHWs and never recovered inside or outside the reserve. Remarkably, abalone biomass had an outstanding and sustained recovery inside reserves, with a fourfold increase in biomass after the MHWs, which was nearly three times higher than the recovery reported outside the reserve. No other species had a sustained recovery after the MHWs, neither inside nor outside the reserve. Our analysis of long-term monitoring data shows that marine reserves cannot fully prevent adverse impacts from extreme climatic events but can enhance species resistance to and recovery from these events. However, benefits conferred by small marine reserves are species-specific and may be limited to species with limited dispersal and localized population dynamics.","7,11"
Calcium carbonate production by the massive coral Mussismilia hispida in subtropical reefs of the Southwestern Atlantic,Marine Environmental Research,2025-08-01,209,,,10.1016/j.marenvres.2025.107218,ar,Article,1,2-s2.0-105004872726,40373644,0,"Corals, as primary calcifiers, play a vital role in synthesizing calcium carbonate (CaCO3) to build their skeletons, contributing to the formation of complex benthic habitats that support high biodiversity and marine productivity. However, coral habitats have dramatically declined worldwide due to ocean warming and acidification. Interestingly, the subtropical Southwestern Atlantic (SWA) has emerged as a potential refuge, where corals like Mussismilia hispida exhibit resilience to thermal anomalies. In this study, we estimate CaCO3 production by M. hispida in subtropical SWA reefs, revealing an average growth rate of 4.3 ± 1 mm/year and a CaCO3 production rate of 1.31 ± 0.3 kg. m−2. year−1. These values are comparable to tropical reef systems, suggesting that M. hispida contributes significantly to carbonate production, even in higher latitude environments. Moreover, despite experiencing one of the most intense thermal anomalies recorded, colony abundance (i.e., ind. m−2) and carbonate production remained stable, emphasizing the potential of the region as a climate refuge. While many tropical reefs act as net CO2 sources due to the release of CO2 during calcification, SWA subtropical reefs present lower coverage of corals. They are dominated by algae and other primary producers, acting as an important potential carbon sink through photosynthesis and long-term storage of carbon over centuries as mineralized CaCO3. Thus, we provide evidence that M. hispida, by producing ∼170 tons. year−1 of CaCO3 in the subtropical reefs of the Alcatrazes Archipelago, acts as a key player in carbon sequestration and CaCO3 production in higher latitude SWA areas.","8,11"
Marine heatwaves amplify benthic community metabolism and solute flux in a seafloor heating experiment,Functional Ecology,2025-08-01,39,8,1856-1868,10.1111/1365-2435.70028,ar,Article,1,2-s2.0-105000963364,,1,"The magnitude and frequency of marine heatwaves are increasing and predicted to intensify, but our ability to understand the real-world effects on vital benthic ecosystems is lagging behind. Prior insights into the impacts of marine heatwaves are often derived from observational or laboratory studies. Observational studies may not fully disentangle the complexities of potential compound events and typically focus on severe, often lethal marine heatwaves. Laboratory studies, on the contrary, while valuable for understanding specific mechanisms, often use artificial setups and can introduce unnatural disturbances that do not reflect real-world scenarios. To investigate sublethal temperature effects of marine heatwaves in a natural benthic habitat, we developed a novel approach for inducing elevated water temperatures in situ over several days. The system utilizes domestic underfloor heating technology combined with custom-made benthic chambers. We placed 10 chambers for 15 days in a bare-sediment habitat at 2.5 m depth and heated five chambers to 5°C above ambient water temperatures in summer for 6 days, followed by a period of 7 days at ambient temperatures. Incubations during day and night were performed during the experiment to assess changes in ecosystem functioning (solute fluxes) and sediment cores were collected at the end of the experiment to assess the effects of a realistic marine heatwave on benthic community structure. The results indicate that while the benthic community structure remained similar between the treatments, except for a size shift of Marenzelleria spp. towards smaller individuals in the heated treatment, elevated temperatures caused a significant increase in community respiration and amplified the magnitude of either efflux or influx of nutrients (NH4+-N, PO43−-P and Si). Primary production during daytime incubations remained mostly unaffected by the heatwave treatment, contributing to the concept of heterotrophy being more influenced by increased temperatures than autotrophy. This study confirms the suitability of the novel system for examining the impact of temperature on benthic habitats in situ and demonstrates its potential for the investigation of complex habitats and communities, which are essential for our understanding of the ecosystem-level effects of climate change. Read the free Plain Language Summary for this article on the Journal blog.","3,7,11"
Extreme sensitivity of the northeastern Gulf of Lion (western Mediterranean) to subsurface heatwaves: Physical processes and insights into effects on gorgonian populations in the summer of 2022,Ocean Science,2025-07-24,21,4,1487-1503,10.5194/os-21-1487-2025,ar,Article,0,2-s2.0-105017314086,,1,"In the summer of 2022, atmospheric conditions characterized by persistent anticyclonic anomalies caused an extreme marine heatwave in the western Mediterranean Sea. Time series of temperature profiles at various points along the northeastern coast of the Gulf of Lion (NW Mediterranean Sea) showed exceptional temperatures down to depths of 30 m, which led to massive mortality of benthic species. A hydrodynamic numerical simulation was used to analyze the physical processes responsible for this subsurface heatwave in a region where the climatology in summer is characterized by northerly winds inducing upwelling alternating with low winds. Firstly, the recurrence of heatwaves limited to the surface was demonstrated, triggered when upwelling stopped and warm water from the Northern Current intruded onto the shelf. More importantly, in August and early September 2022, two episodes of southerly and easterly winds of 8 to 10 m s-1 occurred. The oceanic response to these winds was an alongshore cyclonic current advecting warm water onto the shelf and a downwelling of this warm water to depths of the order of 30 to 40 m. A large part of the Gulf of Lion coast was warmed by these events. However, the northeastern part of the shelf, on either side of the city of Marseille, was by far the area most affected at depth due to the combination of the proximity of the warm surface waters of the Ligurian coast advected by wind-induced currents and the local acceleration of the wind by the continental topography, which intensifies the downwelling of these surface waters. These events are rare in summer, but their impact on the rich benthic ecosystems that characterize the region is dramatic and will only increase with the warming trend in surface waters, which is already close to 1 °C, as seen over the last decade. Copyright:","3,4,7,11"
Temporal change in the abundance and size distribution patterns of temperate deep reef sessile communities under multiple climate disturbances,Estuarine Coastal and Shelf Science,2025-07-15,318,,,10.1016/j.ecss.2025.109224,ar,Article,2,2-s2.0-85219533963,,1,"Climate change poses significant challenges to sessile benthic shallow reef communities, with increased frequency and intensity of marine heatwaves and storms exacerbating these threats. Marine imagery from autonomous underwater vehicles has recently shown that mesophotic reefs (30–150 m) are also vulnerable to climate-induced changes. However, the absence of historical monitoring in these previously inaccessible systems hinders our ability to detect or interpret changes and their underlying drivers. To better understand the variability, we assessed temporal changes over a six-year period in the abundance and size-frequency distribution of mesophotic sessile benthic reef invertebrates in southern Tasmania, a region that is exposed to some of the world's highest wave energy and accelerated warming rates. Our cutting-edge use of artificial intelligence-assisted methods for size estimation from marine imagery indicates a significant increase in the abundance and size of cup-like sponges and bramble octocorals, which is contrasted by a marked decline in the population of locally abundant soft arborescent octocorals, particularly small individuals. Despite an increase in mean size and apparent stability, the absence of significant recruitment for most morphospecies may mask underlying vulnerabilities. While causation cannot be attributed here, this region frequently experiences large storms capable of affecting the seabed at depths of 140 m. The trends observed align with expectations of how these communities may respond under such conditions. The importance of continued monitoring, alongside robust physical data collection, cannot be overstated if we are to better understand population dynamics and drivers of change in these mesophotic reef communities.","3,7,11"
"Marine heatwaves effects on quantity, composition, and turnover of sedimentary organic matter in a Mediterranean coastal lagoon: A benthocosm study",Estuarine Coastal and Shelf Science,2025-07-15,318,,,10.1016/j.ecss.2025.109252,ar,Article,0,2-s2.0-105000303744,,1,"Marine heatwaves (MHWs), caused by climate change, are becoming increasingly frequent and more intense, impacting benthic marine ecosystems. Nonetheless, knowledge about MHWs effects on the sediment biogeochemistry of coastal lagoons are almost unknown. We show that MHWs of different intensity (+4, +8 °C) simulated in benthocosm altered quantity, biochemical composition and nutritional quality of sedimentary organic matter obtained from a Mediterranean coastal lagoon. Sedimentary contents of carbohydrates, chlorophyll-a, and total phytopigments and biopolymeric C decreased significantly (by ca. −25, −37, −34, −15 %, respectively) already at +4 °C; at +8 °C those changes were accentuated for almost all variables (by −34, −48, −50, −14 %, respectively), including lipids (by −16 %), ultimately causing a drop in the nutritional quality of food for the benthos. This was plausibly the result of interacting (possibly synergistic) factors including the decay of labile molecules exposed to warmer conditions, an increased consumption due to the stimulation of heterotrophic activity by warmer temperatures, and an increased degradation (up to 31 % at +4 °C) due to the stimulation of extracellular enzymes. We can anticipate that more frequent, intense and long-lasting MHWs will influence at large sedimentary biogeochemistry in coastal lagoons and their ability to store blue C. However, since our experiments did not control for other factors possibly interacting at the microscale (e.g. microbial communities’ responses to warming and hypoxia), we foster the need of further studies to disentangle the effects of MHWs from those of other climatic stressors.","3,7,11"
‘The fish that stop’: drivers of historical decline for Pacific cod and implications for modern management in an era of rapidly changing climate,Philosophical Transactions of the Royal Society B Biological Sciences,2025-07-10,380,1930,,10.1098/rstb.2024.0278,ar,Article,2,2-s2.0-105010704349,40635437,1,"In the Gulf of Alaska, a series of marine heat waves depleted Pacific cod (Gadus macrocephalus) biomass to the lowest abundance ever recorded and led to the fishery’s closure in 2020. Although the fishery has been productive for decades, this collapse may have historical precedents. Traditional knowledge holders refer to cod as ‘the fish that stop’, and there is a suggested period of decline in the 1930s. Here we conduct a catch reconstruction of the early commercial fishery (1864–1950), confirming a rapid catch decline in the 1920s and 1930s. Next, we evaluate evidence for possible drivers. We document changes to demand and technology that contributed to declining catch. However, we also find both qualitative and quantitative evidence of depletion, suggesting catch declines were not driven entirely by social factors. Overfishing may have contributed to localized catch declines as evidenced by declining catch rates in heavily fished localities. We also find evidence for climate as a driver of regional decline, with the period of catch decline characterized by up to 2°C higher temperatures as compared to the earlier period of high fisheries production. Our analysis underscores the importance of understanding long-term drivers of fisheries productivity and the value of linking fisheries and climate histories. This article is part of the theme issue ‘Shifting seas: understanding deep-time human impacts on marine ecosystems’.","5,9,10"
Local Environmental Filtering and Frequency of Marine Heatwaves Influence Decadal Trends in Coral Composition,Diversity and Distributions,2025-07-01,31,7,,10.1111/ddi.70043,ar,Article,2,2-s2.0-105011064799,,1,"Aim: We explored how repeated marine heatwaves and the local environment (wave exposure and depth) influenced responses of coral assemblages to bleaching events. Location: Lakshadweep Archipelago, Northern Indian Ocean. Time Period: 1998 to 2022. Major Taxa Studied: Scleractinian corals. Methods: We collected coral genera data using photoquadrat methods across deep and shallow reefs, subjected to three major bleaching events. We tracked coral mortality and recovery rates from these events to determine if they were influenced by wave exposure and depth. We then used regression models to explore how temporal trends of 29 common genera were influenced by wave exposure, depth, past bleaching events and recovery time. Finally, we used hierarchical clustering to group genera with similar responses. Results: Over 24 years, coral cover declined from 37.24% to 19.6%, reflecting a roughly 50% reduction from the 1998 baseline. This decline was explained by reduced recovery rates after each bleaching event, despite coral mortality (both absolute and proportional) decreasing with successive events. Recovery rates dramatically increased after 6 years, suggesting a critical period of bleaching-free years needed for reefs to recover. We observed contrasting responses of coral genera which clustered in six groups representing distinct assemblage-wide patterns in distribution (depth and wave exposure) and bleaching responses. Genera with different life histories clustered together, highlighting the importance of local environments in determining the survival and recovery of corals across taxa. Main Conclusion: Resistance to bleaching events and recovery potential of coral reefs in the Lakshadweep Archipelago is mediated by environmental filtering of coral composition by wave exposure and depth. Our results provide a predictive framework based on coral clusters that could inform resilience planning. Coral fate, however, will be determined by the return time of bleaching events, underscoring that urgent climate action is critical to secure the ecological integrity of tropical reefs.","8,11"
Univariate deep learning framework for short-term SST forecasting at high spatio-temporal scales,Environmental Research Communications,2025-07-01,7,7,,10.1088/2515-7620/ade7d6,ar,Article,0,2-s2.0-105009990138,,1,"We present a univariate hybrid machine learning framework to predict daily high resolution Sea Surface Temperature (SST) near the Gulf of Kutch region at a resolution of ∼5.5 km. The hybrid model integrates Intrinsic Mode Functions (IMF) derived from variational mode decomposition with a Long Short-Term Memory (LSTM) network to augment predictive skill. The predicted SST demonstrates impressive performance up to lead times of 7 days. Using statistical metrics like Kullback-Leibler divergence and mutual information, we show that the SST predicted from the hybrid model with a lead time of 3 days decisively outperforms the high-resolution GLORYS SST reanalysis let alone forecast skills of a data-assimilated dynamical model. Using conditional probability, we show that the SST forecasts from the hybrid model are quite reliable over the entire range of SST observations in the study domain. In contrast, the reliability of GLORYS falters in the lower range of SST observations. Also, the hybrid model excels in capturing fine-scale SST features, such as SST fronts, and detecting Marine Heatwaves (MHWs) up to 3 days in advance. These capabilities hold significant applications for Potential Fishing Zone identification and coral bleaching alerts. The hybrid model framework is also adept at forecasting location specific high frequency (3 hourly) SST with a lead time of a day.","2,8,12"
The Emergence of Near-Permanent Marine Heatwave State in the Tropical Indian Ocean During 2023–2024,International Journal of Climatology,2025-07-01,45,9,,10.1002/joc.70014,ar,Article,1,2-s2.0-105009234060,,0,"In 2023/24, global mean surface temperatures exceeded 1.5°C above pre-industrial levels, and the Tropical Indian Ocean (TIO) experienced a record-breaking basin mean anomalous warming of 0.88°C. This unprecedented warming in the TIO is linked to the severe and long-lasting marine heatwave (MHW) events ever recorded in the region, reconciling with the ongoing long-term warming and internal climate variabilities. The MHW events of 2023/24 were primarily centred in the Arabian Sea (AS) and southwestern TIO regions, with mean intensities of 0.73°C and 0.89°C, respectively. The prolonged MHW event developed in the AS region in August 2023 and in the southwestern TIO in July 2023 due to increased oceanic heat gain associated with increased insolation and reduced latent heat loss. The MHW event in the AS was sustained throughout the remainder of the year and the following year by subsurface warming due to the convergence of surface winds in the AS and suppressed cooling by vertical processes. In the southwestern TIO, the event intensified and lasted till December 2024, driven by thermocline warming induced by downwelling Rossby waves, triggered by intensified easterlies associated with an anomalously westward extended cold tongue in the equatorial Indian Ocean, linked to the co-occurrence of strong El Niño and extreme equatorial positive Indian Ocean Dipole (PIOD) events. The extreme warming of the TIO during 2023/24 underscores the ongoing impact of climate change on global ocean surface warming.","5,10"
Subsurface Heatwaves and Cold Spells in the South China Sea Regulated by ENSO: Role of the South China Sea Throughflow,Geophysical Research Letters,2025-06-28,52,12,,10.1029/2025GL114692,ar,Article,1,2-s2.0-105008437449,,1,"Reanalysis data reveals that the South China Sea (SCS) experiences intensified subsurface marine heatwaves (MHWs) and marine cold spells (MCSs) near the thermocline. On the interannual scale, surface and subsurface events demonstrate an opposite correlation with ENSO, primarily due to distinct drivers at different depths. During the developing phase of El Niño, the Luzon Strait transport, indicative of the SCS throughflow (SCSTF), increases and necessitates stronger upwelling for mass balance. This upwelling, acting on large subsurface vertical temperature gradients, induces significant subsurface cooling and the occurrence of MCSs. As El Niño matures, excessive atmospheric heat flux warms the surface layer, triggering surface MHWs. This heat is then transported downward mainly by vertical turbulent mixing, diminishing subsurface cooling, and terminating subsurface MCSs. The scenario reverses during La Niña events. The SCSTF serves as a vital oceanic pathway, transmitting ENSO signals into the SCS and profoundly modulating subsurface MHWs and MCSs.","3,4,10"
