eid,title,journal,date,volume,issue,pages,doi,subtype,subtype_desc,citedby,pmid,open_access,abstract
2-s2.0-85127732903,Exploring Potential Links Between Co-occurring Coastal Terrestrial and Marine Heatwaves in Australia,Frontiers in Climate,2022-03-16,4,,,10.3389/fclim.2022.792730,ar,Article,27,,1,"Despite numerous studies examining terrestrial or marine heatwaves independently, little work has investigated potential associations between these two types of extreme events. Examination of a limited number of past events suggests that certain co-occurring terrestrial and marine heatwaves have common drivers. Co-occurring events may also interact via local land-sea interactions, thereby altering the likelihood of these events. This study explores possible links between adjacent coastal marine and terrestrial heatwaves around Australia using observation and reanalysis data. We find a significant increase in the number of terrestrial heatwave days in the presence of an adjacent co-occurring marine heatwave along the coastal belt of Australia. In most regions, this increase persists at least 150 km inland. This suggests that processes operating beyond the narrow coastal belt are important in most regions. We also show that synoptic conditions driving a terrestrial heatwave in three locations around Australia are conducive for warming the ocean, which would increase the likelihood of a marine heatwave occurring. However, ocean state must also be conducive to reach MHW conditions. Our findings suggest that co-occurring terrestrial and marine heatwaves co-occur more frequently than chance would dictate, and that large scale synoptics may be conducive to both coastal terrestrial and marine heatwaves."
2-s2.0-85131428605,Probability of committed warming exceeding 1.5 °c and 2.0 °c Paris targets,Environmental Research Letters,2022-01-01,17,6,,10.1088/1748-9326/ac6ff6,ar,Article,6,,1,"The feasibility of achieving the Paris 1.5 °C target continues to be a complex and hotly debated question. To help resolve this question we calculate probability distributions of the committed warming that would ensue if all anthropogenic emissions were stopped immediately, or at successive future times. We use a simple Earth system model together with a Bayesian approach that incorporates multiple lines of evidence and accounts for known model biases. This analysis reveals a wide range of possible outcomes, including no further warming, but also a 15% chance of overshooting the 1.5 °C target, and 1%-2% chance for 2 °C, even if all emissions had stopped in 2020. If emissions merely stabilize in 2020 and stop in 2040, these probabilities increase to 90% and 17%. The uncertainty arises mainly from that of present forcing by aerosols. Rather than there being a fixed date by which emissions must stop, the probability of reaching either target - which is already below 100% - gradually diminishes with delays in eliminating emissions, by 3%-4% per year for 1.5 °C."
2-s2.0-85105363848,Future changes to the upper ocean Western Boundary Currents across two generations of climate models,Scientific Reports,2021-12-01,11,1,,10.1038/s41598-021-88934-w,ar,Article,55,33953259,1,"Western Boundary Currents (WBCs) are important for the oceanic transport of heat, dissolved gases and nutrients. They can affect regional climate and strongly influence the dispersion and distribution of marine species. Using state-of-the-art climate models from the latest and previous Climate Model Intercomparison Projects, we evaluate upper ocean circulation and examine future projections, focusing on subtropical and low-latitude WBCs. Despite their coarse resolution, climate models successfully reproduce most large-scale circulation features with ensemble mean transports typically within the range of observational uncertainty, although there is often a large spread across the models and some currents are systematically too strong or weak. Despite considerable differences in model structure, resolution and parameterisations, many currents show highly consistent projected changes across the models. For example, the East Australian Current, Brazil Current and Agulhas Current extensions are projected to intensify, while the Gulf Stream, Indonesian Throughflow and Agulhas Current are projected to weaken. Intermodel differences in most future circulation changes can be explained in part by projected changes in the large-scale surface winds. In moving to the latest model generation, despite structural model advancements, we find little systematic improvement in the simulation of ocean transports nor major differences in the projected changes."
2-s2.0-85119847323,Response of Southern Hemisphere Western Boundary Current Regions to Future Zonally Symmetric and Asymmetric Atmospheric Changes,Journal of Geophysical Research Oceans,2021-11-01,126,11,,10.1029/2021JC017858,ar,Article,11,,1,"Subtropical western boundary currents (WBCs) are often associated with hotspots of global warming, with certain WBC extension regions warming 3–4 times faster than the global mean. In the Southern Hemisphere, strong warming over the WBC extensions has been observed over the last few decades, with enhanced warming projected into the future. This amplified warming has primarily been linked to poleward intensification of the mid-latitude westerly winds in the Southern Hemisphere. Changes in these winds are often thought of as being zonally symmetric; however, recent studies show that they contain strong zonal asymmetries in certain ocean basins. The importance of these zonal asymmetries for the Southern Ocean has not yet been investigated. In this study, we use an ocean-sea-ice model forced by prescribed atmospheric fields to quantify the contribution of projected zonally asymmetric atmospheric changes in generating future ocean warming and circulation changes in the subtropical WBC regions. We find that the zonally asymmetric component of atmospheric forcing, characterized by a pattern that is consistent across CMIP6 models, can explain more than 30% (>2°C) of the sea surface temperature (SST) warming found in the Tasman Sea and southern Australia region and a sizable fraction of warming in the Agulhas Current region. These changes in SST in both the Indian and Pacific basins are found to be primarily driven by increases in the advection of warm tropical water to the mid-latitudes due to changes in the large-scale subtropical ocean gyres, which in turn can largely be explained by changes in the mid-latitude surface wind stress patterns."
2-s2.0-85118102143,East Australian Cyclones and Air-Sea Feedbacks,Journal of Geophysical Research Atmospheres,2021-10-27,126,20,,10.1029/2020JD034391,ar,Article,1,,1,"The importance of resolving mesoscale air-sea interactions to represent cyclones impacting the East Coast of Australia, the so-called East Coast Lows (ECLs), is investigated using the Australian Regional Coupled Model based on NEMO-OASIS-WRF (NOW) at (Formula presented.) resolution. The fully coupled model is shown to be capable of reproducing correctly relevant features such as the seasonality, spatial distribution and intensity of ECLs while it partially resolves mesoscale processes, such as air-sea feedbacks over ocean eddies and fronts. The mesoscale thermal feedback (TFB) and the current feedback (CFB) are shown to influence the intensity of northern ECLs (north of (Formula presented.)), with the TFB modulating the pre-storm sea surface temperature (SST) by shifting ECL locations eastwards and the CFB modulating the wind stress. By fully uncoupling the atmospheric model of NOW, the intensity of northern ECLs is increased due to the absence of the cold wake that provides a negative feedback to the cyclone. The number of ECLs might also be affected by the air-sea feedbacks but large interannual variability hampers significant results with short-term simulations. The TFB and CFB modify the climatology of SST (mean and variability) but no direct link is found between these changes and those noticed in ECL properties. These results show that the representation of ECLs, mainly north of (Formula presented.), depend on how air-sea feedbacks are simulated. This is particularly important for atmospheric downscaling of climate projections as small-scale SST interactions and the effects of ocean currents are not accounted for."
2-s2.0-85117800067,Socioeconomic impacts of marine heatwaves: Global issues and opportunities,Science,2021-10-22,374,6566,,10.1126/science.abj3593,re,Review,310,34672757,0,"Extreme climatic events, including marine heatwaves (MHWs), are altering ecosystems globally, often with profound socioeconomic impacts. We examine how MHWs have affected the provision of ecosystem services and evaluate the socioeconomic consequences for human society. Ecological impacts range from harmful algal blooms and mass mortality events to reconfigurations of entire ecosystems, affecting provisioning, habitat, regulating, and cultural ecosystem services globally. Reported economic costs of individual MHW events exceed US$800 million in direct losses or >US$3.1 billion in indirect losses of ecosystem services for multiple years. However, biological responses to MHWs can also increase human-ocean interactions, providing opportunities for coastal societies. Our study provides a global perspective on the far-reaching impacts of MHWs on human societies and highlights the urgent need to develop robust approaches to mitigation and adaptation."
2-s2.0-85113816465,Zonal wave 3 pattern in the Southern Hemisphere generated by tropical convection,Nature Geoscience,2021-10-01,14,10,732-738,10.1038/s41561-021-00811-3,ar,Article,40,,1,"A distinctive feature of the Southern Hemisphere extratropical atmospheric circulation is the quasi-stationary zonal wave 3 pattern. This pattern is present in both the mean atmospheric circulation and its variability on daily, seasonal and interannual timescales. While the zonal wave 3 pattern has substantial impacts on meridional heat transport and Antarctic sea ice extent, the reason for its existence remains uncertain, although it has long been assumed to be linked to the presence of three major landmasses in the Southern Hemisphere extratropics. Here we use an atmospheric general circulation model to show that the stationary zonal wave 3 pattern is instead driven by zonally asymmetric deep convection in the tropics, with little influence from extratropical orography or landmasses. Localized regions of deep convection in the tropics form a local Hadley cell, which in turn creates a wave source in the subtropics that excites a poleward- and eastward-propagating wave train, forming quasi-stationary waves in the Southern Hemisphere high latitudes. Our findings suggest that changes in tropical deep convection, either due to natural variability or climate change, fundamentally control the zonal wave 3 pattern, with implications for southern high-latitude climate, ocean circulation and sea ice."
2-s2.0-85111623874,Pathways to sustaining tuna-dependent Pacific Island economies during climate change,Nature Sustainability,2021-10-01,4,10,900-910,10.1038/s41893-021-00745-z,ar,Article,82,,1,"Climate-driven redistribution of tuna threatens to disrupt the economies of Pacific Small Island Developing States (SIDS) and sustainable management of the world’s largest tuna fishery. Here we show that by 2050, under a high greenhouse gas emissions scenario (RCP 8.5), the total biomass of three tuna species in the waters of ten Pacific SIDS could decline by an average of 13% (range = −5% to −20%) due to a greater proportion of fish occurring in the high seas. The potential implications for Pacific Island economies in 2050 include an average decline in purse-seine catch of 20% (range = −10% to −30%), an average annual loss in regional tuna-fishing access fees of US$90 million (range = −US$40 million to –US$140 million) and reductions in government revenue of up to 13% (range = −8% to −17%) for individual Pacific SIDS. Redistribution of tuna under a lower-emissions scenario (RCP 4.5) is projected to reduce the purse-seine catch from the waters of Pacific SIDS by an average of only 3% (range = −12% to +9%), indicating that even greater reductions in greenhouse gas emissions, in line with the Paris Agreement, would provide a pathway to sustainability for tuna-dependent Pacific Island economies. An additional pathway involves Pacific SIDS negotiating within the regional fisheries management organization to maintain the present-day benefits they receive from tuna, regardless of the effects of climate change on the distribution of the fish."
2-s2.0-85108287025,A multimodel investigation of atmospheric mechanisms for driving arctic amplification in warmer climates,Journal of Climate,2021-06-15,34,14,5723-5740,10.1175/JCLI-D-20-0354.1,re,Review,5,,2,"When simulating past warm climates, such as the early Cretaceous and Paleogene periods, general circulation models (GCMs) underestimate the magnitude of warming in the Arctic. Additionally, model intercomparisons show a large spread in the magnitude of Arctic warming for these warmer-than-modern climates. Several mechanisms have been proposed to explain these disagreements, including the unrealistic representation of polar clouds or underestimated poleward heat transport in the models. This study provides an intercomparison of Arctic cloud and atmospheric heat transport (AHT) responses to strong imposed polar-amplified surface ocean warming across four atmosphere-only GCMs. All models simulate an increase in high clouds throughout the year; the resulting reduction in longwave radiation loss to space acts to support the imposed Arctic warming. The response of low- and midlevel clouds varies considerably across the models, with models responding differently to surface warming and sea ice removal. The AHT is consistently weaker in the imposed warming experiments due to a large reduction in dry static energy transport that offsets a smaller increase in latent heat transport, thereby opposing the imposed surface warming. Our idealized polar amplification experiments require very large increases in implied ocean heat transport (OHT) to maintain steady state. Increased CO2 or tropical temperatures that likely characterized past warm climates reduce the need for such large OHT increases."
2-s2.0-85104328220,Projected Changes to Australian Marine Heatwaves,Geophysical Research Letters,2021-04-16,48,7,,10.1029/2020GL091323,ar,Article,14,,0,"Marine heatwaves are extreme oceanic events that can have severe impacts on ecosystems and economies. Recent studies have suggested future increases in the severity and duration of these events. However, these findings are based on coarse resolution climate models that cannot resolve important ocean structures. This study uses a 0.25° coupled regional model to quantify how marine heatwaves around Australia respond under a high emissions scenario. We find that increases to future marine heatwave statistics are primarily caused by changes in the mean temperature, with changes in variability important in some areas. Temperature variance changes are most prominent close to Tasmania, with a covariance temperature budget demonstrating that this is linked to large simulated increases in East Australian Current transport and variability. Close to New Zealand, changes in surface heat fluxes also play an important role. These results quantify the response of marine heatwave characteristics to future temperature changes."
2-s2.0-85103225187,What Determines the Lagged ENSO Response in the South-West Indian Ocean?,Geophysical Research Letters,2021-03-28,48,6,,10.1029/2020GL091958,ar,Article,8,,1,"Oceanic Rossby waves can propagate climate signals over considerable distances over long timescales. Using a long simulation from a coupled climate model, we examine oceanic and mixed atmosphere-ocean teleconnections to the south-western Indian Ocean (SWIO) associated with Rossby waves excited by the El Niño-Southern Oscillation (ENSO). Reconstruction of propagating ENSO-induced sea-level anomalies from the simulation using an optimized linear wave model with dissipation highlights the prominent role of baroclinic, rather than barotropic, Rossby waves in modulating sea-surface heights. Between 9.5° and 18.5°S, El Niño-associated anomalous anticyclonic wind-stress fields initiate downwelling Rossby waves, potentially influencing SWIO regional climate around 1–4 seasons after El Niño peak, while also destructively interfering with upwelling waves triggered on the eastern boundary by oceanic teleconnections. Further south, weaker ENSO winds, dissipation, non-linear processes, and interference from higher-mode Rossby waves limit ENSO influences in the SWIO. In the model, ENSO-associated predictability is therefore constrained by the “atmospheric” rather than “oceanic” bridge."
2-s2.0-85101785801,Generation of the Amundsen Sea Low by Antarctic Orography,Geophysical Research Letters,2021-02-28,48,4,,10.1029/2020GL091487,ar,Article,17,,1,"The Amundsen Sea Low (ASL) is a distinctive feature of the Southern Hemisphere high latitude atmospheric circulation, regulating regional Antarctic climate, meridional heat transport, ocean circulation, and sea-ice in the Amundsen-Bellingshausen Seas. Most previous research on the ASL has focused on its variability with only a few studies attempting to understand why the climatological ASL exists. These studies have proposed different hypotheses to explain the presence of the ASL, however, a clear understanding of the mechanisms responsible for the generation of the ASL remains uncertain. Here we use an atmospheric general circulation model to show that the ASL is a consequence of the interaction between Antarctic topography and the westerly wind jet, with negligible influence from low-latitude teleconnections. A nonrotating fluid flow simulation further suggests that the ASL can be explained by flow separation resulting from the interaction of westerly winds with the topography of Antarctica."
2-s2.0-85101318054,Historical and Projected Changes in the Southern Hemisphere Surface Westerlies,Geophysical Research Letters,2021-02-28,48,4,,10.1029/2020GL090849,ar,Article,119,,1,"The Southern Hemisphere (SH) surface westerlies fundamentally control regional patterns of air temperature, storm tracks, and precipitation while also regulating ocean circulation, heat transport and carbon uptake. Wind-forced ocean perturbation experiments commonly apply idealized poleward wind shifts ranging between 0.5 and 10 degrees of latitude and wind intensification factors of between 10% and 300%. In addition, changes in winds are often prescribed ad hoc as a zonally uniform anomaly that neglects important regional and seasonal differences. Here we quantify historical and projected SH westerly wind changes based on examination of CMIP5, CMIP6, and reanalysis data. We find a significant reduction in the location bias of the CMIP6 ensemble and an associated reduction in the projected poleward shift compared to CMIP5. Under a high emission scenario, we find a projected end of 21st Century ensemble mean wind increase of ∼10% and a poleward shift of ∼0.8° latitude, although there are important seasonal and regional variations."
2-s2.0-85099368674,Marine Heatwaves,Annual Review of Marine Science,2021-01-03,13,,313-342,10.1146/annurev-marine-032720-095144,ar,Article,533,32976730,0,"Ocean temperature variability is a fundamental component of the Earth's climate system, and extremes in this variability affect the health of marine ecosystems around the world. The study of marine heatwaves has emerged as a rapidly growing field of research, given notable extreme warm-water events that have occurred against a background trend of global ocean warming. This review summarizes the latest physical and statistical understanding of marine heatwaves based on how they are identified, defined, characterized, and monitored through remotely sensed and in situ data sets. We describe the physical mechanisms that cause marine heatwaves, along with their global distribution, variability, and trends. Finally, we discuss current issues in this developing research area, including considerations related to thechoice of climatological baseline periods in defining extremes and how to communicate findings in the context of societal needs."
2-s2.0-85101941062,Connections of climate change and variability to large and extreme forest fires in southeast Australia,Communications Earth and Environment,2021-01-01,2,,,10.1038/s43247-020-00065-8,re,Review,605,,1,"The 2019/20 Black Summer bushfire disaster in southeast Australia was unprecedented: the extensive area of forest burnt, the radiative power of the fires, and the extraordinary number of fires that developed into extreme pyroconvective events were all unmatched in the historical record. Australia’s hottest and driest year on record, 2019, was characterised by exceptionally dry fuel loads that primed the landscape to burn when exposed to dangerous fire weather and ignition. The combination of climate variability and long-term climate trends generated the climate extremes experienced in 2019, and the compounding effects of two or more modes of climate variability in their fire-promoting phases (as occurred in 2019) has historically increased the chances of large forest fires occurring in southeast Australia. Palaeoclimate evidence also demonstrates that fire-promoting phases of tropical Pacific and Indian ocean variability are now unusually frequent compared with natural variability in preindustrial times. Indicators of forest fire danger in southeast Australia have already emerged outside of the range of historical experience, suggesting that projections made more than a decade ago that increases in climate-driven fire risk would be detectable by 2020, have indeed eventuated. The multiple climate change contributors to fire risk in southeast Australia, as well as the observed non-linear escalation of fire extent and intensity, raise the likelihood that fire events may continue to rapidly intensify in the future. Improving local and national adaptation measures while also pursuing ambitious global climate change mitigation efforts would provide the best strategy for limiting further increases in fire risk in southeast Australia."
2-s2.0-85095691069,Drivers and impacts of the most extreme marine heatwaves events,Scientific Reports,2020-12-01,10,1,,10.1038/s41598-020-75445-3,ar,Article,346,33168858,1,"Prolonged high-temperature extreme events in the ocean, marine heatwaves, can have severe and long-lasting impacts on marine ecosystems, fisheries and associated services. This study applies a marine heatwave framework to analyse a global sea surface temperature product and identify the most extreme events, based on their intensity, duration and spatial extent. Many of these events have yet to be described in terms of their physical attributes, generation mechanisms, or ecological impacts. Our synthesis identifies commonalities between marine heatwave characteristics and seasonality, links to the El Niño-Southern Oscillation, triggering processes and impacts on ocean productivity. The most intense events preferentially occur in summer, when climatological oceanic mixed layers are shallow and winds are weak, but at a time preceding climatological maximum sea surface temperatures. Most subtropical extreme marine heatwaves were triggered by persistent atmospheric high-pressure systems and anomalously weak wind speeds, associated with increased insolation, and reduced ocean heat losses. Furthermore, the most extreme events tended to coincide with reduced chlorophyll-a concentration at low and mid-latitudes. Understanding the importance of the oceanic background state, local and remote drivers and the ocean productivity response from past events are critical steps toward improving predictions of future marine heatwaves and their impacts."
2-s2.0-85089272387,Drier tropical and subtropical Southern Hemisphere in the mid-Pliocene Warm Period,Scientific Reports,2020-12-01,10,1,,10.1038/s41598-020-68884-5,ar,Article,29,32778702,1,"Thermodynamic arguments imply that global mean rainfall increases in a warmer atmosphere; however, dynamical effects may result in more significant diversity of regional precipitation change. Here we investigate rainfall changes in the mid-Pliocene Warm Period (~ 3 Ma), a time when temperatures were 2–3ºC warmer than the pre-industrial era, using output from the Pliocene Model Intercomparison Projects phases 1 and 2 and sensitivity climate model experiments. In the Mid-Pliocene simulations, the higher rates of warming in the northern hemisphere create an interhemispheric temperature gradient that enhances the southward cross-equatorial energy flux by up to 48%. This intensified energy flux reorganizes the atmospheric circulation leading to a northward shift of the Inter-Tropical Convergence Zone and a weakened and poleward displaced Southern Hemisphere Subtropical Convergences Zones. These changes result in drier-than-normal Southern Hemisphere tropics and subtropics. The evaluation of the mid-Pliocene adds a constraint to possible future warmer scenarios associated with differing rates of warming between hemispheres."
2-s2.0-85087870372,"Indian Ocean Dipole in CMIP5 and CMIP6: characteristics, biases, and links to ENSO",Scientific Reports,2020-12-01,10,1,,10.1038/s41598-020-68268-9,ar,Article,156,32661240,1,"Accurately representing the Indian Ocean Dipole (IOD) is crucial for reliable climate predictions and future projections. However, El Niño-Southern Oscillation (ENSO) and IOD interact, making it necessary to evaluate ENSO and IOD simultaneously. Using the historical simulation from 32 fifth phase of Coupled Model Intercomparison Project (CMIP5) models and 34 CMIP6 models, here we find that there are some modest changes in the basic characteristics of the IOD and ENSO from CMIP5 to CMIP6. Firstly, there is a slight shift in the seasonality of IOD toward an earlier peak in September in CMIP6, from November in CMIP5. Secondly, inter-model spread in the frequency of ENSO and the IOD has reduced in CMIP6 relative to CMIP5. ENSO asymmetry is still underestimated in CMIP6, based on the skewness of the Niño3 index, while the IOD skewness has degraded from CMIP5. Finally, mean state SST biases impact on the strength of the IOD; the Pacific cold tongue mean state is important in CMIP5, but in CMIP6 the Pacific warm pool mean state is more important."
2-s2.0-85094878516,Keeping pace with marine heatwaves,Nature Reviews Earth and Environment,2020-09-01,1,9,482-493,10.1038/s43017-020-0068-4,re,Review,352,,1,"Marine heatwaves (MHWs) are prolonged extreme oceanic warm water events. They can have devastating impacts on marine ecosystems — for example, causing mass coral bleaching and substantial declines in kelp forests and seagrass meadows — with implications for the provision of ecological goods and services. Effective adaptation and mitigation efforts by marine managers can benefit from improved MHW predictions, which at present are inadequate. In this Perspective, we explore MHW predictability on short-term, interannual to decadal, and centennial timescales, focusing on the physical processes that offer prediction. While there may be potential predictability of MHWs days to years in advance, accuracy will vary dramatically depending on the regions and drivers. Skilful MHW prediction has the potential to provide critical information and guidance for marine conservation, fisheries and aquaculture management. However, to develop effective prediction systems, better understanding is needed of the physical drivers, subsurface MHWs, and predictability limits."
2-s2.0-85088920983,Regional Versus Remote Atmosphere-Ocean Drivers of the Rapid Projected Intensification of the East Australian Current,Journal of Geophysical Research Oceans,2020-07-01,125,7,,10.1029/2019JC015889,ar,Article,17,,1,"Like many western boundary currents, the East Australian Current (EAC) extension is projected to get stronger and warmer in the future. The CMIP5 multimodel mean (MMM) projection suggests up to 5°C of warming under an RCP85 scenario by 2100. Previous studies employed Sverdrup balance to associate a trend in basin wide zonally integrated wind stress curl (resulting from the multidecadal poleward intensification in the westerly winds over the Southern Ocean) with enhanced transport in the EAC extension. Possible regional drivers are yet to be considered. Here we introduce the NEMO-OASIS-WRF coupled regional climate model as a framework to improve our understanding of CMIP5 projections. We analyze a hierarchy of simulations in which the regional atmosphere and ocean circulations are allowed to freely evolve subject to boundary conditions that represent present-day and CMIP5 RCP8.5 climate change anomalies. Evaluation of the historical simulation shows an EAC extension that is stronger than similar ocean-only models and observations. This bias is not explained by a linear response to differences in wind stress. The climate change simulations show that regional atmospheric CMIP5 MMM anomalies drive 73% of the projected 12 Sv increase in EAC extension transport whereas the remote ocean boundary conditions and regional radiative forcing (greenhouse gases within the domain) play a smaller role. The importance of regional changes in wind stress curl in driving the enhanced EAC extension is consistent with linear theory where the NEMO-OASIS-WRF response is closer to linear transport estimates compared to the CMIP5 MMM."
2-s2.0-85084210621,Assessing the role of the ocean–atmosphere coupling frequency in the western Maritime Continent rainfall,Climate Dynamics,2020-06-01,54,11-12,4935-4952,10.1007/s00382-020-05266-7,ar,Article,9,,2,"High-frequency interactions between the ocean and atmosphere have the potential to affect lower frequency or mean state climate in various regions. Here we examine the importance of sub-daily air-sea interactions over the Maritime Continent region to the rectification of longer timescale variation. In order to determine the importance of these high-frequency interactions, we conducted two regional ocean–atmosphere coupled simulations over the Maritime Continent where exchanges between the oceanic and atmospheric components are performed either every hour (i.e. resolving diurnal changes) or every day. We find that coupling frequency has a significant influence on mean sea surface temperature (SST) and the mean state and diurnal cycle of rainfall over certain regions of the western Maritime Continent where air-sea interactions are strong during the Asian monsoon season, with little effect in other regions or seasons. Without sub-daily air-sea interactions, the mean SST along the southwest off Sumatra is ~ 2 °C warmer during the period from June to October as a result of a deepening of thermocline along the coast. This deepening is linked to anomalous downwelling equatorial eastward propagating Kelvin waves triggered by westerly anomalies in the eastern equatorial Indian Ocean. In addition, the mean rainfall in the vicinity of ocean warming increases, thereby producing an enhanced barrier layer that also provides a positive warming feedback. Although the coupling frequency has little impact on the timing of the rainfall diurnal cycle, suppression of sub-daily coupling significantly changes the diurnal rainfall amplitude causing a relative decrease (increase) in amplitude over the coast of Northwestern (Southwestern) Sumatra during the South Asian monsoon season."
2-s2.0-85132360745,ENSO Oceanic Teleconnections,Geophysical Monograph Series,2020-01-01,253,,337-357,10.1002/9781119548164.ch15,ch,Book Chapter,27,,0,"The reverberating impacts of ENSO are felt around the world long after the demise of ENSO events in the tropical Pacific Ocean. This is largely attributable to oceanic pathways that transfer ENSO-associated anomalies around the Pacific and into other basins. While the impact of atmospheric teleconnections occurs over days to weeks, oceanic teleconnections permit a memory of anomalous air-sea coupling during ENSO to persist months to years. ENSO-generated ocean perturbations are transmitted to remote regions by planetary waves. Equatorial Kelvin waves generated by intraseasonal western Pacific wind bursts travel along the equator to the eastern basin and excite coastally trapped waves that extend ENSO’s reach to high latitudes along the American coastlines. Rossby waves that either radiate from the coast with the passage of these Kelvin waves or are generated in the ocean interior by ENSO-related wind anomalies propagate signals westward across the basin, rapidly altering tropical circulation and affecting subtropical gyres. At the leaky western boundary, the waves excited by ENSO radiate and scatter through the Indonesian seas to enter the Indian Ocean. This chapter discusses key mechanisms and highlights evidence for transport and property changes attributable to remote ENSO forcing in the tropical Pacific mediated by oceanic teleconnections."
2-s2.0-85108202994,ENSO-Driven Ocean Extremes and Their Ecosystem Impacts,Geophysical Monograph Series,2020-01-01,253,,409-428,10.1002/9781119548164.ch18,ch,Book Chapter,44,,0,"El Niño–Southern Oscillation (ENSO) events can cause extremes in the ocean environment that have substantial impacts on marine ecosystems. In the shallow‐water/coastal marine environment, ENSO‐related extremes in sea level and seawater temperature have been found to impact coral, kelp, seagrass, and mangrove ecosystems. Coastal impacts from sea level extremes include exposure of shallow‐water ecosystems and inundation in low‐lying areas. Ocean temperature extremes, including marine heatwaves, cause coral bleaching and can impact kelp and seagrass density. This chapter reviews knowledge and understanding of ENSO’s role in sea level extremes and ocean temperature extremes, and their impacts on these key shallow‐water/coastal marine ecosystems."
2-s2.0-85074606389,Projected late 21st century changes to the regional impacts of the El Niño-Southern Oscillation,Climate Dynamics,2020-01-01,54,1-2,395-412,10.1007/s00382-019-05006-6,ar,Article,29,,0,"As the dominant driver of interannual climate variability globally, any changes in the remote impacts of the El Niño-Southern Oscillation (ENSO) due to climate change are of considerable importance. Here we assess whether climate models from Phase 5 of the Coupled Model Intercomparison Project (CMIP5) project robust changes in ENSO’s regional temperature and precipitation teleconnections in the late 21st century, comparing the historical simulations (between 1950 and 1999) and high-emission future simulations (between 2040 and 2089). In order to quantify the importance of internal variability in these projected changes, we examine an ensemble of coupled model simulations from the Max-Planck-Institute Grand Ensemble (MPI-GE). Except for a few regions, the changes in ENSO’s temperature and precipitation teleconnections for most regions are not significant across the majority of models. Exceptions include consistent projected changes to temperature teleconnections over equatorial South America and East Africa, which are robust during La Niña events. Despite this, by assessing all regions together, a significant amplification of the temperature teleconnections is identified for La Niña events. Additionally, we find an overall projected weakening relative to the historical precipitation teleconnection when analysis is limited to regions that correctly reproduce the observed precipitation teleconnections. It remains unclear to what extent a change in regional ENSO teleconnections will be apparent, as it is clear that the changes in ENSO’s teleconnections are relatively small compared to the regional variability during the historical period."
2-s2.0-85081691522,Reduction in surface climate change achieved by the 1987 Montreal Protocol,Environmental Research Letters,2019-12-06,14,12,,10.1088/1748-9326/ab4874,ar,Article,52,,1,"The benefits of the 1987 Montreal Protocol in reducing chlorofluorocarbon emissions, repairing the stratospheric ozone hole, shielding incoming UV radiation, reducing the incidence of skin cancer and mitigating negative ecosystem effects are all well documented. Projected future climate impacts have also been described, mainly focused on a reduced impact of the mid-latitude jet as the ozone hole gradually repairs. However, there is little appreciation of the surface warming that has been avoided as a result of the Montreal Protocol, despite CFCs being potent greenhouse gases. Instead, the issue of ozone depletion and climate change are often thought of as two distinct problems, even though both ozone and CFCs impact Earth's radiation budget. Here we show that a substantial amount of warming has been avoided because of the Montreal Protocol, even after factoring in the surface cooling associated with stratospheric ozone depletion. As of today, as much as 1.1 °C warming has been avoided over parts of the Arctic. Future climate benefits are even stronger, with 3 °C-4 °C Arctic warming and ∼1 °C global average warming avoided by 2050; corresponding to a ∼25% mitigation of global warming. The Montreal Protocol has thus not only been a major success in repairing the stratospheric ozone hole, it has also achieved substantial mitigation of anthropogenic climate change both today and into the future."
2-s2.0-85076967724,Projected Marine Heatwaves in the 21st Century and the Potential for Ecological Impact,Frontiers in Marine Science,2019-12-04,6,,,10.3389/fmars.2019.00734,ar,Article,518,,1,"Marine heatwaves (MHWs) are extreme climatic events in oceanic systems that can have devastating impacts on ecosystems, causing abrupt ecological changes and socioeconomic consequences. Several prominent MHWs have attracted scientific and public interest, and recent assessments have documented global and regional increases in their frequency. However, for proactive marine management, it is critical to understand how patterns might change in the future. Here, we estimate future changes in MHWs to the end of the 21st century, as simulated by the CMIP5 global climate model projections. Significant increases in MHW intensity and count of annual MHW days are projected to accelerate, with many parts of the ocean reaching a near-permanent MHW state by the late 21st century. The two greenhouse gas (GHG) emission scenarios considered (Representative Concentration Pathway 4.5 and 8.5) strongly affect the projected intensity of MHW events, the proportion of the globe exposed to permanent MHW states, and the occurrence of the most extreme MHW events. Comparison with simulations of a natural world, without anthropogenic forcing, indicate that these trends have emerged from the expected range of natural variability within the first half of the 21st century. This discrepancy implies a degree of “anthropogenic emergence,” with a departure from the natural MHW conditions that have previously shaped marine ecosystems for centuries or even millennia. Based on these projections we expect impacts on marine ecosystems to be widespread, significant and persistent through the 21st century."
